Grupo procedimento,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024
03 Procedimentos clinicos,1113,1299,1021,533,203,45,125,98,39,56,62,106,114,47,23,20
04 Procedimentos cirurgicos,671,784,830,923,670,-,324,353,625,-,-,-,-,-,-,-
