0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-
0303090294 TRATAMENTO CONSERVADOR DE LUMBAGO OU DORSALGIA REFRATARIOS,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS,5,10,2,2,-,-,-,1,-,-,-,-,-,-,-,-
0303090324 TRATAMENTO DE ARTRITE REUMATOIDE,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO,2,2,-,1,-,1,-,1,-,-,-,-,-,-,-,-
0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES,50,73,55,16,6,3,6,5,1,-,-,2,4,2,-,-
0303140070 TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE,1,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-
0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303140119 TRATAMENTO DE OUTRAS DOENCAS DA PLEURA,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO,11,6,6,5,1,-,1,-,-,-,-,6,3,-,-,-
0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE),191,178,99,76,12,3,19,2,2,-,-,4,2,-,-,-
0303150017 TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303150025 TRATAMENTO DE DOENCAS GLOMERULARES,8,6,12,-,-,-,-,-,-,-,-,-,-,-,-,-
0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS,4,4,7,-,-,-,-,-,1,-,-,-,-,-,-,-
0303150041 TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS,-,58,53,11,2,4,2,-,-,-,-,1,-,-,-,-
0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO,32,45,35,31,15,4,5,2,1,-,-,4,4,-,-,-
0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0303170050 TRATAMENTO DE SINDROME DE ABSTINENCIA POR USO PREJUDICIAL DE ALCOOL E DROGAS,3,3,3,1,-,-,-,-,-,-,-,-,-,-,-,-
0304100013 TRATAMENTO DE INTERCORRENCIAS CLINICAS DE PACIENTE ONCOLOGICO,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
0305020013 TRATAMENTO DA PIELONEFRITE,35,13,-,-,-,-,-,-,1,-,-,-,-,-,-,-
0305020021 TRATAMENTO DE CALCULOSE RENAL,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA,-,3,1,2,-,-,-,-,-,-,-,-,1,-,-,-
0305020056 TRATAMENTO DA DOENCA RENAL CRONICA - DRC,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,-
0308010019 TRATAMENTO CLINICO/CONSERVADOR DE TRAUMATISMOS DE QUALQUER LOCALIZACAO,1,30,48,41,4,4,4,-,-,-,-,1,2,1,-,-
0308020030 TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDI,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0308030036 TRATAMENTO DE QUEIMADURAS CORROSOES E GELADURAS,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS,3,3,-,-,1,-,2,-,-,-,-,-,2,-,-,-
0310010039 PARTO NORMAL,271,222,157,120,94,9,43,64,31,56,62,43,44,44,23,20
0401020010 ENXERTO COMPOSTO,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"0401020045 EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )",-,10,27,25,16,-,-,-,-,-,-,-,-,-,-,-
0401020070 EXERESE DE CISTO DERMOIDE,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0401020088 EXERESE DE CISTO SACRO-COCCIGEO,5,6,8,2,1,-,-,-,1,-,-,-,-,-,-,-
0401020100 EXTIRPACAOE SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO,4,8,-,2,1,-,1,-,-,-,-,-,-,-,-,-
